Country,Year,Attack_Type,Target_Industry,Financial_Loss_in_Million_$,Number_of_Affected_Users,Attack_Source,Security_Vulnerability_Type,Defense_Mechanism_Used,Incident_Resolution_Time_in_Hours,loss_per_user,log_affected_users,log_financial_loss,risk_cluster,risk_profile_name
UK,2017,DDoS,IT,9.01,617543,Unknown,Zero-day,Antivirus,43,14.590077128232366,13.333505600006477,2.303584593327129,1,Low Loss Wide Exposure Incidents
Brazil,2023,Malware,Telecommunications,62.77,422623,Nation-state,Zero-day,AI-based Detection,55,148.52480816235746,12.954238173843532,4.155282860327181,2,High Loss Long Resolution Incidents
Russia,2023,Ransomware,Telecommunications,60.08,874485,Hacker Group,Weak Passwords,Antivirus,48,68.70329393871822,13.681391564164562,4.1121844803504315,2,High Loss Long Resolution Incidents
Brazil,2023,Man-in-the-Middle,Banking,20.15,376174,Unknown,Social Engineering,Firewall,43,53.56563717853972,12.83780973962708,3.051639905492287,1,Low Loss Wide Exposure Incidents
China,2015,DDoS,Government,22.71,303975,Nation-state,Social Engineering,Firewall,2,74.71009129040218,12.62470402990343,3.165896900077314,0,High Loss Fast Resolution Incidents
Brazil,2016,DDoS,IT,17.12,988369,Hacker Group,Weak Passwords,AI-based Detection,26,17.321465970705272,13.803812400551783,2.8970163006148333,1,Low Loss Wide Exposure Incidents
Germany,2017,Malware,Healthcare,8.53,676384,Unknown,Social Engineering,VPN,44,12.611179448360694,13.424517719533581,2.254444717666111,1,Low Loss Wide Exposure Incidents
India,2016,Phishing,Retail,59.36,967614,Nation-state,Unpatched Software,AI-based Detection,71,61.3467767105478,13.782589559871518,4.100326633899648,2,High Loss Long Resolution Incidents
Japan,2023,Man-in-the-Middle,Healthcare,64.21,707978,Nation-state,Weak Passwords,VPN,41,90.69490859885475,13.470169711219011,4.177612831405111,2,High Loss Long Resolution Incidents
Russia,2015,SQL Injection,Education,23.49,642834,Unknown,Weak Passwords,Antivirus,34,36.541315487357544,13.373643360647566,3.1982648709640764,0,High Loss Fast Resolution Incidents
Brazil,2023,Man-in-the-Middle,Retail,74.85,549300,Hacker Group,Weak Passwords,Antivirus,26,136.2643364281813,13.21640183982787,4.328757705794541,0,High Loss Fast Resolution Incidents
Australia,2020,Phishing,Government,92.5,34011,Insider,Unpatched Software,Firewall,9,2719.7083296580518,10.434468682505683,4.537961436294641,3,High Per-User Damage Incidents
USA,2018,SQL Injection,Banking,63.8,341383,Nation-state,Weak Passwords,Antivirus,9,186.88686900050675,12.740763222397725,4.1713056033582285,0,High Loss Fast Resolution Incidents
Germany,2019,Malware,Banking,79.24,862136,Hacker Group,Zero-day,VPN,44,91.9112529809682,13.66716946973198,4.38502214365368,2,High Loss Long Resolution Incidents
India,2015,Phishing,Retail,49.51,72782,Unknown,Zero-day,Encryption,63,680.2506114149103,11.195237690432041,3.9221713364799613,3,High Per-User Damage Incidents
Germany,2023,Phishing,Government,88.55,698597,Unknown,Social Engineering,Antivirus,66,126.75405133431721,13.456830748482176,4.494797128506721,2,High Loss Long Resolution Incidents
Russia,2024,Man-in-the-Middle,IT,67.61,242847,Unknown,Unpatched Software,VPN,37,278.40574518112226,12.400191012203639,4.2284382967028,2,High Loss Long Resolution Incidents
Australia,2016,Malware,Telecommunications,68.42,778844,Unknown,Zero-day,Encryption,65,87.84814417264562,13.565567332012762,4.24017501043364,2,High Loss Long Resolution Incidents
UK,2020,Phishing,Healthcare,3.02,510974,Unknown,Weak Passwords,Encryption,16,5.910281149334408,13.144075944309979,1.3912819026309298,1,Low Loss Wide Exposure Incidents
Japan,2017,Man-in-the-Middle,Healthcare,11.3,64472,Insider,Social Engineering,Firewall,43,175.26988460106713,11.074001810493316,2.509599262378372,3,High Per-User Damage Incidents
India,2023,DDoS,Education,82.11,23683,Hacker Group,Weak Passwords,Encryption,69,3467.0438711311913,10.072554993651666,4.420165031564935,3,High Per-User Damage Incidents
Brazil,2023,SQL Injection,Healthcare,47.59,933271,Insider,Unpatched Software,Antivirus,30,50.992691297597375,13.74645197003233,3.883417748417812,0,High Loss Fast Resolution Incidents
Germany,2016,Phishing,Education,48.57,907547,Unknown,Unpatched Software,Firewall,33,53.517889431621725,13.718501736284365,3.9033858120324827,0,High Loss Fast Resolution Incidents
UK,2021,Malware,Education,70.9,490771,Nation-state,Weak Passwords,Antivirus,70,144.46656383527144,13.103734940476745,4.275276264727001,2,High Loss Long Resolution Incidents
Germany,2020,Phishing,Healthcare,38.12,394577,Nation-state,Unpatched Software,Encryption,33,96.60978718982606,12.885572118355492,3.6666338451666167,0,High Loss Fast Resolution Incidents
Australia,2020,SQL Injection,Telecommunications,53.32,55392,Unknown,Zero-day,VPN,44,962.5938763720393,10.922208510961449,3.9948924832504407,3,High Per-User Damage Incidents
India,2017,DDoS,IT,70.09,417831,Unknown,Unpatched Software,Encryption,36,167.74724709272408,12.942834716842267,4.263946679941392,0,High Loss Fast Resolution Incidents
India,2018,Malware,Education,86.38,1174,Insider,Weak Passwords,VPN,23,73577.51277683134,7.069023426578259,4.47026642352329,3,High Per-User Damage Incidents
Russia,2019,Ransomware,Healthcare,21.95,217438,Hacker Group,Social Engineering,Firewall,14,100.94831630165841,12.289673630404565,3.133317936506554,0,High Loss Fast Resolution Incidents
USA,2022,Malware,IT,4.06,863756,Nation-state,Unpatched Software,AI-based Detection,66,4.700401502276105,13.669046758227994,1.6213664832993742,1,Low Loss Wide Exposure Incidents
China,2022,Phishing,Retail,31.35,131361,Insider,Weak Passwords,Firewall,39,238.65530865325326,11.785712149905308,3.4766140209469096,3,High Per-User Damage Incidents
India,2024,DDoS,Retail,35.47,342575,Insider,Social Engineering,Firewall,49,103.53937094066993,12.744248809878957,3.596490004820589,2,High Loss Long Resolution Incidents
Brazil,2018,Man-in-the-Middle,Banking,1.01,66191,Hacker Group,Weak Passwords,AI-based Detection,71,15.258872052091673,11.100314888701194,0.6981347220709844,1,Low Loss Wide Exposure Incidents
India,2023,SQL Injection,Government,28.71,497965,Unknown,Unpatched Software,VPN,25,57.65465444358539,13.118287080583707,3.391483689474516,0,High Loss Fast Resolution Incidents
India,2016,Ransomware,Retail,9.53,89719,Unknown,Zero-day,Firewall,68,106.22053299746987,11.404448988634144,2.354228326145884,1,Low Loss Wide Exposure Incidents
France,2018,DDoS,IT,75.88,822364,Unknown,Zero-day,VPN,71,92.27057604661682,13.619939614411646,4.342245764662037,2,High Loss Long Resolution Incidents
Brazil,2023,Man-in-the-Middle,Telecommunications,90.37,705678,Hacker Group,Zero-day,Antivirus,57,128.06124039576125,13.46691573885875,4.514917197010529,2,High Loss Long Resolution Incidents
India,2024,Ransomware,IT,33.66,131900,Unknown,Unpatched Software,Antivirus,21,255.19332827899925,11.789806920177805,3.54558628428746,3,High Per-User Damage Incidents
India,2024,SQL Injection,Telecommunications,10.24,213393,Unknown,Social Engineering,Encryption,49,47.986578753754806,12.270895501240838,2.419478844465545,1,Low Loss Wide Exposure Incidents
China,2022,Phishing,Retail,33.69,338578,Unknown,Social Engineering,AI-based Detection,38,99.50439780493711,12.732512726675154,3.5464514609816584,2,High Loss Long Resolution Incidents
Russia,2019,Phishing,Government,93.7,808318,Nation-state,Social Engineering,Antivirus,57,115.91972466281834,13.602712061569635,4.550714000192032,2,High Loss Long Resolution Incidents
France,2016,Phishing,Banking,54.5,511287,Unknown,Unpatched Software,Antivirus,34,106.59375262817166,13.14468831120535,4.0163830207523885,0,High Loss Fast Resolution Incidents
India,2023,SQL Injection,Banking,48.53,421083,Insider,Unpatched Software,AI-based Detection,28,115.25043756219083,12.950587617702682,3.9025785466001466,0,High Loss Fast Resolution Incidents
USA,2019,Man-in-the-Middle,Telecommunications,17.21,896828,Unknown,Weak Passwords,Firewall,33,19.18985580289643,13.706620487416181,2.9019708937395166,1,Low Loss Wide Exposure Incidents
Japan,2015,Malware,Telecommunications,28.8,915532,Insider,Zero-day,Encryption,68,31.457120013281894,13.727261688323635,3.3945083935113587,2,High Loss Long Resolution Incidents
India,2018,SQL Injection,Education,52.05,874254,Nation-state,Zero-day,Antivirus,11,59.53647338187758,13.681127374097143,3.971234865059992,0,High Loss Fast Resolution Incidents
UK,2017,Malware,Education,29.47,85644,Hacker Group,Social Engineering,AI-based Detection,3,344.0988277053851,11.357966124932085,3.416742592997618,3,High Per-User Damage Incidents
USA,2022,SQL Injection,Government,98.46,429452,Hacker Group,Weak Passwords,Antivirus,6,229.26892877434497,12.970267584849328,4.599755553286593,0,High Loss Fast Resolution Incidents
UK,2015,Malware,IT,82.45,435994,Nation-state,Unpatched Software,Encryption,51,189.10810699229805,12.985386054375507,4.424247650107844,2,High Loss Long Resolution Incidents
Germany,2023,Ransomware,Healthcare,54.79,393779,Nation-state,Weak Passwords,Encryption,39,139.1389586544737,12.883547656695823,4.021594641857437,2,High Loss Long Resolution Incidents
Brazil,2024,Man-in-the-Middle,Education,8.94,451311,Unknown,Weak Passwords,Encryption,14,19.80895657318346,13.01991417531313,2.2965670206684825,1,Low Loss Wide Exposure Incidents
Australia,2015,Ransomware,Telecommunications,46.39,605536,Nation-state,Unpatched Software,VPN,61,76.60981345452623,13.31387094663189,3.858411235979497,2,High Loss Long Resolution Incidents
France,2021,Man-in-the-Middle,Healthcare,52.04,757744,Nation-state,Zero-day,Antivirus,43,68.67754809012014,13.538102196415931,3.971046345877607,2,High Loss Long Resolution Incidents
Australia,2018,SQL Injection,Banking,40.11,874040,Unknown,Social Engineering,Firewall,6,45.89034826781383,13.680882564292546,3.716251400909787,0,High Loss Fast Resolution Incidents
UK,2019,Malware,Government,46.27,798717,Hacker Group,Social Engineering,Encryption,10,57.930405888443595,13.590763221273546,3.855875844805145,0,High Loss Fast Resolution Incidents
France,2021,SQL Injection,Government,98.76,904598,Hacker Group,Social Engineering,AI-based Detection,11,109.17556748964734,13.715247030564292,4.602767301371781,0,High Loss Fast Resolution Incidents
Brazil,2023,Ransomware,Telecommunications,32.18,812908,Hacker Group,Weak Passwords,Antivirus,12,39.58627544568389,13.608374451145881,3.5019472847622986,0,High Loss Fast Resolution Incidents
China,2019,SQL Injection,Education,64.26,796878,Nation-state,Zero-day,Antivirus,26,80.63969641526056,13.588458126924174,4.178379291165174,0,High Loss Fast Resolution Incidents
India,2019,Ransomware,Telecommunications,90.48,46972,Nation-state,Social Engineering,VPN,23,1926.253938516563,10.757328247537078,4.516120369154581,3,High Per-User Damage Incidents
Australia,2023,Malware,Education,67.23,362308,Unknown,Social Engineering,AI-based Detection,5,185.5603519657308,12.800252717866377,4.222884350827332,0,High Loss Fast Resolution Incidents
Brazil,2018,Man-in-the-Middle,Retail,76.39,984,Insider,Unpatched Software,Firewall,56,77632.1138211382,6.892641641172089,4.348857573282368,3,High Per-User Damage Incidents
France,2017,Ransomware,IT,93.15,372975,Hacker Group,Weak Passwords,Firewall,64,249.74864267042028,12.829269353392304,4.544889255103161,2,High Loss Long Resolution Incidents
USA,2015,Man-in-the-Middle,Education,37.18,270984,Nation-state,Zero-day,Encryption,28,137.20367254155227,12.509818747776434,3.6423118182976015,0,High Loss Fast Resolution Incidents
Brazil,2018,DDoS,Retail,1.58,100633,Insider,Zero-day,Encryption,53,15.700615106376636,11.519245451715046,0.9477893989335261,1,Low Loss Wide Exposure Incidents
Australia,2016,Man-in-the-Middle,Government,35.59,729762,Insider,Social Engineering,VPN,6,48.76932479356283,13.50047510287766,3.5997749790311158,0,High Loss Fast Resolution Incidents
USA,2020,Phishing,Healthcare,39.92,376443,Insider,Zero-day,Antivirus,20,106.045271130025,12.838524576779621,3.711618941083426,0,High Loss Fast Resolution Incidents
India,2022,SQL Injection,Healthcare,91.91,180456,Unknown,Unpatched Software,VPN,8,509.3208316708782,12.103247801227663,4.531631282653221,0,High Loss Fast Resolution Incidents
Russia,2018,Phishing,IT,65.88,503520,Hacker Group,Zero-day,Encryption,48,130.83889418493803,13.129380698314693,4.202899968776446,2,High Loss Long Resolution Incidents
Australia,2017,SQL Injection,Banking,7.21,526324,Insider,Unpatched Software,VPN,39,13.698786298933737,13.173674171638757,2.105352923464337,1,Low Loss Wide Exposure Incidents
Brazil,2020,Ransomware,Banking,99.9,429566,Nation-state,Zero-day,AI-based Detection,54,232.56030505207582,12.970533003583862,4.6141299273595635,2,High Loss Long Resolution Incidents
Russia,2022,Ransomware,Telecommunications,89.33,776295,Unknown,Zero-day,VPN,40,115.07223413779556,13.562289169733324,4.503469631161752,2,High Loss Long Resolution Incidents
Germany,2019,Malware,Retail,6.47,360381,Unknown,Zero-day,VPN,62,17.953221729225458,12.794919858962947,2.010894999144726,1,Low Loss Wide Exposure Incidents
India,2018,Phishing,Banking,71.58,31733,Hacker Group,Unpatched Software,Encryption,49,2255.6959631928908,10.365143940294034,4.284689401784925,3,High Per-User Damage Incidents
France,2019,Man-in-the-Middle,IT,76.35,460984,Hacker Group,Zero-day,Firewall,55,165.62396959547402,13.041120783488461,4.348340577019075,2,High Loss Long Resolution Incidents
Russia,2016,Phishing,Retail,70.4,480522,Unknown,Zero-day,Antivirus,72,146.5073399344879,13.082630373052316,4.268297869345539,2,High Loss Long Resolution Incidents
Australia,2018,SQL Injection,Banking,20.28,363414,Insider,Unpatched Software,Antivirus,59,55.80412422196173,12.803300710922283,3.0577676644734435,2,High Loss Long Resolution Incidents
China,2023,SQL Injection,Education,4.18,715127,Nation-state,Weak Passwords,Antivirus,60,5.845115622819443,13.480216826632823,1.6448050562713916,1,Low Loss Wide Exposure Incidents
India,2024,Ransomware,Government,79.3,998833,Hacker Group,Social Engineering,Firewall,21,79.39265122397838,13.814343877657398,4.385769620952716,0,High Loss Fast Resolution Incidents
Australia,2015,Man-in-the-Middle,Education,20.96,248083,Hacker Group,Social Engineering,Encryption,70,84.48785285569748,12.421522677475366,3.08922261664133,2,High Loss Long Resolution Incidents
Australia,2022,Phishing,Healthcare,61.97,633750,Insider,Unpatched Software,Antivirus,45,97.78303747534517,13.359411411795556,4.142658422500651,2,High Loss Long Resolution Incidents
China,2020,Man-in-the-Middle,Education,1.05,255393,Unknown,Unpatched Software,Encryption,71,4.111310803350131,12.450562729743933,0.7178397931503169,1,Low Loss Wide Exposure Incidents
China,2019,Ransomware,Government,15.42,555153,Unknown,Zero-day,Encryption,11,27.776126581320824,13.227000831716294,2.7985001040242823,0,High Loss Fast Resolution Incidents
China,2023,Ransomware,IT,23.18,367503,Nation-state,Weak Passwords,Encryption,17,63.07431503960512,12.814489481929536,3.1855258451866466,0,High Loss Fast Resolution Incidents
Australia,2016,Man-in-the-Middle,Education,37.48,382682,Nation-state,Zero-day,Firewall,12,97.94032643291297,12.854962249209478,3.6501386257975055,0,High Loss Fast Resolution Incidents
USA,2017,Phishing,IT,7.95,362478,Hacker Group,Zero-day,Encryption,67,21.932365550460993,12.800721820564316,2.191653532286764,1,Low Loss Wide Exposure Incidents
China,2016,SQL Injection,Retail,96.28,162061,Insider,Zero-day,Firewall,32,594.0972843558907,11.995734257046797,4.577593418217857,0,High Loss Fast Resolution Incidents
China,2016,Ransomware,Banking,94.63,455702,Hacker Group,Weak Passwords,Antivirus,5,207.65763591118758,13.029596560508777,4.560486578361451,0,High Loss Fast Resolution Incidents
France,2019,Malware,Retail,21.92,603904,Nation-state,Unpatched Software,Firewall,38,36.29715981348029,13.311172179778193,3.132009891846539,1,Low Loss Wide Exposure Incidents
Brazil,2024,DDoS,Healthcare,76.39,782425,Insider,Weak Passwords,Encryption,13,97.63236092916254,13.570154628234448,4.348857573282368,0,High Loss Fast Resolution Incidents
USA,2023,SQL Injection,Government,89.46,59398,Hacker Group,Zero-day,Antivirus,8,1506.1113168793563,10.992032670192192,4.5049077640496975,3,High Per-User Damage Incidents
USA,2018,DDoS,IT,26.29,943039,Insider,Zero-day,Firewall,28,27.87795626692003,13.756863978531467,3.306520334720247,0,High Loss Fast Resolution Incidents
Japan,2020,SQL Injection,Retail,10.41,872095,Nation-state,Unpatched Software,Firewall,44,11.936772943314661,13.678654788574585,2.4344901638739844,1,Low Loss Wide Exposure Incidents
Russia,2018,Phishing,Education,5.25,605947,Insider,Zero-day,Firewall,13,8.664124090060682,13.314549452788826,1.8325814637483102,1,Low Loss Wide Exposure Incidents
Japan,2019,SQL Injection,IT,89.81,126120,Unknown,Social Engineering,Encryption,39,712.0995876942594,11.744997042584112,4.508769411701737,3,High Per-User Damage Incidents
France,2017,SQL Injection,Healthcare,42.8,683189,Unknown,Zero-day,VPN,19,62.64737869023067,13.434528284347033,3.7796338173824005,0,High Loss Fast Resolution Incidents
Germany,2023,Phishing,Retail,87.55,291580,Unknown,Unpatched Software,Firewall,25,300.2606488785239,12.583073119243439,4.4835673642288425,0,High Loss Fast Resolution Incidents
Germany,2017,Ransomware,Education,10.32,195872,Hacker Group,Social Engineering,Antivirus,22,52.68746936775037,12.185221769012703,2.4265710727750367,1,Low Loss Wide Exposure Incidents
Germany,2015,Man-in-the-Middle,IT,54.54,775866,Insider,Weak Passwords,AI-based Detection,69,70.29564383540456,13.561736392723533,4.017103481878653,2,High Loss Long Resolution Incidents
India,2020,DDoS,Healthcare,16.65,324899,Insider,Unpatched Software,Firewall,57,51.24669512679324,12.691272721657192,2.8707357833793057,1,Low Loss Wide Exposure Incidents
Australia,2023,Ransomware,Government,96.44,472878,Unknown,Social Engineering,Firewall,37,203.94266597304167,13.066594820794611,4.579236803961587,2,High Loss Long Resolution Incidents
USA,2016,Ransomware,Telecommunications,99.88,999508,Unknown,Unpatched Software,VPN,23,99.92916514925344,13.815019437384302,4.613931691656664,0,High Loss Fast Resolution Incidents
Germany,2024,Phishing,Government,22.46,499142,Nation-state,Unpatched Software,VPN,70,44.997215221319784,13.120647906825708,3.1552968432253294,2,High Loss Long Resolution Incidents
Japan,2017,Phishing,IT,73.85,402903,Insider,Zero-day,Encryption,55,183.29473843580217,12.906453599151998,4.3154861108656375,2,High Loss Long Resolution Incidents
USA,2020,SQL Injection,IT,68.17,247149,Nation-state,Unpatched Software,Antivirus,47,275.8255141635208,12.417750718735105,4.236567242612494,2,High Loss Long Resolution Incidents
India,2019,Phishing,IT,33.15,629687,Unknown,Social Engineering,Firewall,53,52.64520309296523,13.35297973760159,3.530762586016799,2,High Loss Long Resolution Incidents
Russia,2021,Man-in-the-Middle,IT,70.97,465446,Unknown,Unpatched Software,Encryption,51,152.47740876492654,13.050753513148422,4.276249365519713,2,High Loss Long Resolution Incidents
USA,2022,Phishing,IT,48.71,520480,Insider,Weak Passwords,VPN,66,93.58668920996004,13.162508663008746,3.906206120106581,2,High Loss Long Resolution Incidents
Brazil,2016,Man-in-the-Middle,Banking,70.89,378949,Unknown,Weak Passwords,AI-based Detection,67,187.07002789293546,12.845159549240176,4.27513717299578,2,High Loss Long Resolution Incidents
USA,2017,Ransomware,Government,89.9,828963,Unknown,Zero-day,Firewall,2,108.4487486172483,13.62793200736027,4.509760001183433,0,High Loss Fast Resolution Incidents
India,2020,Ransomware,Healthcare,79.48,461093,Hacker Group,Zero-day,Firewall,42,172.37303537464243,13.041357205748392,4.388008706351429,2,High Loss Long Resolution Incidents
Japan,2019,SQL Injection,Retail,86.79,214195,Nation-state,Zero-day,Antivirus,54,405.1915310814912,12.2746467626851,4.474947598938117,2,High Loss Long Resolution Incidents
Germany,2016,Phishing,Telecommunications,99.98,761576,Insider,Unpatched Software,Antivirus,9,131.2803974915176,13.543146562423445,4.6149224774307696,0,High Loss Fast Resolution Incidents
India,2020,Ransomware,Government,12.64,10206,Hacker Group,Weak Passwords,Encryption,28,1238.4871644130903,9.230829038403499,2.613006652415316,3,High Per-User Damage Incidents
Brazil,2023,Man-in-the-Middle,Education,27.58,171936,Hacker Group,Weak Passwords,VPN,70,160.40852410199145,12.054883409629259,3.3527071725017215,2,High Loss Long Resolution Incidents
Japan,2018,Phishing,Government,32.93,774050,Hacker Group,Social Engineering,Firewall,40,42.542471416575154,13.559393041873985,3.5242995787961386,2,High Loss Long Resolution Incidents
Brazil,2018,Malware,Retail,83.42,538552,Hacker Group,Weak Passwords,AI-based Detection,65,154.8968344746654,13.196641192276816,4.435804340354353,2,High Loss Long Resolution Incidents
Germany,2019,SQL Injection,Banking,77.65,989592,Insider,Weak Passwords,Antivirus,49,78.46668121811817,13.805049026470321,4.365007629504287,2,High Loss Long Resolution Incidents
France,2020,Ransomware,Education,47.32,848222,Insider,Unpatched Software,VPN,16,55.78728210303435,13.650898851901157,3.8778455536265595,0,High Loss Fast Resolution Incidents
India,2018,Malware,Education,99.09,395264,Unknown,Weak Passwords,Antivirus,5,250.69320757772022,12.887311705015748,4.606069781230928,0,High Loss Fast Resolution Incidents
USA,2023,Malware,IT,52.54,201017,Insider,Unpatched Software,Encryption,17,261.37092882691513,12.211149735270457,3.9804290380922063,0,High Loss Fast Resolution Incidents
Russia,2023,Malware,IT,6.35,259573,Nation-state,Zero-day,Firewall,68,24.46325311184137,12.466797104713113,1.9947003132247452,1,Low Loss Wide Exposure Incidents
Australia,2020,Phishing,Education,85.79,905386,Hacker Group,Zero-day,Firewall,17,94.75516520025712,13.716117755586238,4.463491407656154,0,High Loss Fast Resolution Incidents
France,2023,Phishing,Education,5.8,206203,Hacker Group,Social Engineering,Encryption,7,28.127621809576,12.23662124901894,1.916922612182061,1,Low Loss Wide Exposure Incidents
UK,2018,Malware,Education,51.59,935465,Nation-state,Weak Passwords,AI-based Detection,28,55.14904352380901,13.748800079834853,3.962525987601253,0,High Loss Fast Resolution Incidents
China,2020,SQL Injection,Telecommunications,70.02,688312,Nation-state,Unpatched Software,VPN,48,101.72712374620812,13.441998955321274,4.262961527514942,2,High Loss Long Resolution Incidents
India,2015,Ransomware,Education,96.03,898251,Hacker Group,Weak Passwords,Antivirus,70,106.90775740856398,13.708205931524915,4.575020209037208,2,High Loss Long Resolution Incidents
Germany,2022,DDoS,Retail,21.45,32346,Nation-state,Unpatched Software,AI-based Detection,38,663.1422741606381,10.38427655992558,3.1112906141882632,3,High Per-User Damage Incidents
USA,2018,Man-in-the-Middle,Healthcare,22.61,733934,Nation-state,Zero-day,Firewall,31,30.806584788277966,13.506175747817041,3.1616703510974213,0,High Loss Fast Resolution Incidents
India,2018,Ransomware,Retail,26.01,732636,Hacker Group,Zero-day,VPN,3,35.501940936563315,13.504405633102019,3.2962071678045244,0,High Loss Fast Resolution Incidents
France,2024,Phishing,Retail,45.57,201137,Hacker Group,Zero-day,Antivirus,25,226.56199505809474,12.211746518625977,3.8409565569942856,0,High Loss Fast Resolution Incidents
UK,2016,Phishing,Education,29.49,466333,Hacker Group,Zero-day,Firewall,51,63.23807236459783,13.052657394571053,3.4173987610001633,2,High Loss Long Resolution Incidents
India,2023,Phishing,Retail,5.11,620560,Hacker Group,Weak Passwords,Antivirus,59,8.234497872889003,13.33837918661118,1.809926773183504,1,Low Loss Wide Exposure Incidents
USA,2017,Malware,Government,56.74,976007,Insider,Social Engineering,Encryption,59,58.134828951021866,13.791226062082949,4.055950174234789,2,High Loss Long Resolution Incidents
India,2020,Man-in-the-Middle,Government,50.19,659835,Unknown,Zero-day,Encryption,46,76.06447066312033,13.399746598276648,3.935544200469492,2,High Loss Long Resolution Incidents
China,2017,Man-in-the-Middle,Banking,47.52,83617,Insider,Unpatched Software,AI-based Detection,64,568.3054881184448,11.33401408690149,3.8819760840758493,3,High Per-User Damage Incidents
Germany,2016,Phishing,Government,93.61,395731,Insider,Unpatched Software,AI-based Detection,64,236.54957534284654,12.88849249344923,4.549763178716353,2,High Loss Long Resolution Incidents
Australia,2021,Malware,Healthcare,74.61,357205,Nation-state,Weak Passwords,Antivirus,21,208.87165633179828,12.786067925155837,4.3255885495701785,0,High Loss Fast Resolution Incidents
Brazil,2016,Malware,Education,83.93,102797,Unknown,Weak Passwords,Firewall,17,816.4635154722414,11.540521176561027,4.441827387791918,3,High Per-User Damage Incidents
France,2017,DDoS,Retail,67.36,856228,Hacker Group,Zero-day,Encryption,47,78.6706344571773,13.66029314271037,4.224787858247391,2,High Loss Long Resolution Incidents
UK,2019,Malware,IT,68.54,791265,Hacker Group,Social Engineering,Firewall,65,86.62079075910093,13.581389473405114,4.241902126579715,2,High Loss Long Resolution Incidents
Brazil,2021,Malware,Education,74.37,298836,Hacker Group,Social Engineering,Encryption,29,248.8655985222664,12.60765355322259,4.322409317855379,0,High Loss Fast Resolution Incidents
Germany,2024,Man-in-the-Middle,Government,45.75,865871,Insider,Weak Passwords,Antivirus,58,52.83696994124991,13.671492370615569,3.844814255734696,2,High Loss Long Resolution Incidents
Japan,2020,SQL Injection,Telecommunications,92.13,244933,Nation-state,Social Engineering,AI-based Detection,37,376.1436801084378,12.408744065480363,4.533996366533566,2,High Loss Long Resolution Incidents
China,2016,DDoS,Healthcare,63.15,500521,Nation-state,Weak Passwords,Encryption,27,126.1685323892504,13.12340683281533,4.161224091061645,0,High Loss Fast Resolution Incidents
UK,2023,SQL Injection,Education,19.17,697610,Insider,Weak Passwords,Encryption,18,27.47953727727527,13.455416919801213,3.0041963519661206,0,High Loss Fast Resolution Incidents
Australia,2020,Phishing,Banking,42.03,454763,Hacker Group,Social Engineering,Firewall,14,92.42176694234139,13.027533882052719,3.7618975468505083,0,High Loss Fast Resolution Incidents
UK,2019,Phishing,Telecommunications,33.85,60183,Nation-state,Unpatched Software,AI-based Detection,17,562.4511905355333,11.005161815240058,3.551053137206533,3,High Per-User Damage Incidents
UK,2023,Ransomware,Banking,49.89,638668,Nation-state,Social Engineering,Encryption,47,78.11570330750875,13.367141602282835,3.9296664406007413,2,High Loss Long Resolution Incidents
